address,location,latitude,longitude
Pasteurinkatu 1,"Viikki, Helsinki",60.2247198,25.0149233
Maakaari 1,"Viikki, Helsinki",60.2299091,25.0246428
Tilanhoitajankaari 6,"Viikki, Helsinki",60.2322084,25.0321045
Alempi Talonpojantie 4,"Viikki, Helsinki",60.227111,25.02231
Von Daehnin Katu 14,"Viikki, Helsinki",60.2306148,25.0436735
Maakaari 6,"Viikki, Helsinki",60.2299688,25.026148
Tilanhoitajankaari 11,"Viikki, Helsinki",60.2300137,25.028946
Talonpojantie 5,"Viikki, Helsinki",60.2295211,25.0230234
Kylmäojantie 4,"Ruskeasanta, Vantaa",60.3214091,25.0148592
Kettutie 19,"Herttoniemi, Helsinki",60.2070194,25.0400068
Pallaksentie 4,"Mellunmäki, Helsinki",60.238645,25.110219
Pohjoinen Rautatiekatu 29,"Kamppi, Helsinki",60.1688354,24.9242136
Leppäsuonkatu 7,"Kamppi, Helsinki",60.1693716,24.9236923
Leppäsuonkatu 9b,"Kamppi, Helsinki",60.1694132,24.9228427
Asiakkaankatu 6,"Itäkeskus, Helsinki",60.2085889,25.0783818
Vanha talvitie 23,"Kalasatama, Helsinki",60.192358,24.9792499
Hermannin rantatie 23,"Kalasatama, Helsinki",60.190797,24.9793424
Arielinkatu 2,"Kalasatama, Helsinki",60.1858495,24.9813627
Työpajankatu 4,"Kalasatama, Helsinki",60.1889611,24.9746698
Hopeatie 10,"Haaga, Helsinki",60.2293618,24.884968
Pronssitie 4,"Haaga, Helsinki",60.2312591,24.8836205
Kylänevantie 16,"Haaga, Helsinki",60.2130547,24.8928403
Kimpitie 10,"Hakuninmaa, Helsinki",60.2501815,24.8890993
Serkustentie 1,"Hakuninmaa, Helsinki",60.2543925,24.8982951
Pasilanraitio 6,"Pasila, Helsinki",60.1969757,24.9262207
Opastinsilta 2,"Pasila, Helsinki",60.1997115,24.9429586
Junailijankuja 5,"Pasila, Helsinki",60.1991127,24.9378582
Höyrykatu 1,"Pasila, Helsinki",60.2007628,24.9298789
Pasilanraitio 10,"Pasila, Helsinki",60.2004614,24.9252701
Hietapellontie 11,"Malmi-Pukinmäki, Helsinki",60.2587394,25.0139578
Rälssintie 16,"Malmi-Pukinmäki, Helsinki",60.2411784,24.9900226
Myrttitie 2,"Malmi-Pukinmäki, Helsinki",60.2442991,24.9960516
Pekankatu 5,"Malmi-Pukinmäki, Helsinki",60.2509585,25.013835
Brysselinkatu 3,"Arabia-Toukola, Helsinki",60.2028522,24.9721579
Rörstrandinkatu 3,"Arabia-Toukola, Helsinki",60.2058664,24.9780661
Berliininkatu 5,"Arabia-Toukola, Helsinki",60.2039858,24.9739811
Rasinkatu 20,"Koivukylä, Vantaa",60.3245416,25.0661661
Seljapolku 7,"Koivukylä, Vantaa",60.3215844,25.0551743
Rasinkatu 13,"Koivukylä, Vantaa",60.3235316,25.0659457
Rasinkatu 4,"Koivukylä, Vantaa",60.3222803,25.0644521
Tuuliniitty 1,"Niittykumpu-Tapiola, Espoo",60.1732854,24.8010002
Kalevalantie 4,"Niittykumpu-Tapiola, Espoo",60.1846087,24.809125
Riihitontuntie 9,"Niittykumpu-Tapiola, Espoo",60.1728106,24.7652812
Peltokyläntie 3,"Suutarila, Helsinki",60.2672332,24.9834135
Siltakylänkuja 1,"Suutarila, Helsinki",60.2695344,24.9842776
